course_id,source_platform,name,description,provider_organization,level,duration_minutes,start_date,end_date,enrollment_type,status,course_url,internal_category,source,source_url,embedding_text,embedding_text_is_description_based
NSSTA-001,NSSTA,Handling of unit-level data of NSS and its analysis,Category listed by NSSTA for in-service ISS capacity building.,NSSTA,In Service ISS Officers,,2026-06-01,2026-06-05,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Handling of unit-level data of NSS and its analysis. Category listed by NSSTA for in-service ISS capacity building.,True
NSSTA-002,NSSTA,"Design, Evaluation, and Execution of Projects",Category listed by NSSTA for in-service ISS capacity building.,IITs/IIMs,ISS officers 15-17 yrs,,2026-06-29,2026-07-03,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Design, Evaluation, and Execution of Projects. Category listed by NSSTA for in-service ISS capacity building.",True
NSSTA-003,NSSTA,Advanced Management Programme,Category listed by NSSTA for in-service ISS capacity building.,IITs/IIMs,ISS officers 15-17 yrs,,2026-07-06,2026-10-10,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Advanced Management Programme. Category listed by NSSTA for in-service ISS capacity building.,True
NSSTA-004,NSSTA,Data-driven decision-making using data analytics,Category listed by NSSTA for in-service ISS capacity building.,IIT Bombay/IIT Kanpur,In Service ISS Officers,,2026-07-13,2026-07-17,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Data-driven decision-making using data analytics. Category listed by NSSTA for in-service ISS capacity building.,True
NSSTA-005,NSSTA,Stress Management / Work Beyond Stress,Category listed by NSSTA for in-service ISS capacity building.,Art of Living/Isha Foundation,In Service ISS Officers,,2026-07-13,2026-07-17,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Stress Management / Work Beyond Stress. Category listed by NSSTA for in-service ISS capacity building.,True
NSSTA-006,NSSTA,"Course on AI, ready Data, machine-readable data",Category listed by NSSTA for in-service ISS capacity building.,IIT Madras/Kharagpur/Delhi/Mumbai,ISS officers 8-10 yrs,,2026-08-03,2026-08-07,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Course on AI, ready Data, machine-readable data. Category listed by NSSTA for in-service ISS capacity building.",True
NSSTA-007,NSSTA,R and Python through ISI Delhi,Category listed by NSSTA for in-service ISS capacity building.,ISI Delhi,ISS officers 8-10 yrs,,2026-09-07,2026-12-04,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,R and Python through ISI Delhi. Category listed by NSSTA for in-service ISS capacity building.,True
NSSTA-008,NSSTA,Team Building and Leadership through Adventure Sports (Trekking),Category listed by NSSTA for in-service ISS capacity building.,JIM&WS/NIM/ABVIMAS/HMI,In Service ISS Officers,,2026-09-21,2026-09-25,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Team Building and Leadership through Adventure Sports (Trekking). Category listed by NSSTA for in-service ISS capacity building.,True
NSSTA-009,NSSTA,Managing ICT Projects,Category listed by NSSTA for in-service ISS capacity building.,IIM Ahmedabad,ISS officers 18-23 yrs,,2026-10-05,2026-10-09,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,Managing ICT Projects. Category listed by NSSTA for in-service ISS capacity building.,True
NSSTA-010,NSSTA,"Parliamentary Procedures, Cabinet Note Prep, EFC, MOP",Category listed by NSSTA for in-service ISS capacity building.,MCRHRDIT Hyderabad,In Service ISS Officers,,2026-12-14,2026-12-18,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Parliamentary Procedures, Cabinet Note Prep, EFC, MOP. Category listed by NSSTA for in-service ISS capacity building.",True
NSSTA-011,NSSTA,"Statistical Literacy, Storytelling & Analysis writing",Category listed by NSSTA for in-service ISS capacity building.,IIM A/B/K,In Service ISS Officers,,2027-01-18,2027-01-22,open,0,,ISS Refresher (DSTP/MCTP),NSSTA Advance Training Calendar FY 2026-27,https://nssta.gov.in/offerings,"Statistical Literacy, Storytelling & Analysis writing. Category listed by NSSTA for in-service ISS capacity building.",True
